Tarih,AKP,CHP,IYI,HDP,MHP,DEVA,GP,SP,MP,TIP,ZP,YRP
09-05-2021,33.9,22.5,15.8,11.9,8.6,3,1.1,0.9,
10-05-2021,34.1,23.0,13.5,10.6,11.0,2.8,1.8,2.0,
28-05-2021,31.5,26.2,13.1,11.9,7.9,2.5,2.1,1.3,1.6,,,
29-05-2021,34.8,22.7,14.8,10.7,10.2,2.2,1.2,1.2,1.5,,,
04-06-2021,32.3,26.3,13,9.9,9.1,2.5,1.3,1.7,
10-06-2021,35.1,23.1,14.1,10.1,10.1,2.5,1,1.3,1.7,,,
11-06-2021,34.0,22.9,13.8,9.6,9.9,2.7,1.7,1.9,2.5,,,
14-06-2021,33.9,25.3,12,8.1,10.4,2.1,1.6,1.4,1.6,,,0.7
16-06-2021,33.9,25.3,12,8.1,10.4,2.1,1.6,1.4,1.6,,,
17-06-2021,29.5,26.9,14.7,11,8.3,4.1,1.5,1.2,0.9,,,0.2
17-06-2021,34.4,22.3,16.2,12.7,9.5,2.2,0.9,0.8,
25-06-2021,31.6,27.5,13.6,9.6,8.2,2.9,2,1,
28-06-2021,29.4,26.9,15,11.1,7.1,4.5,2,1.4,0.8,,,0.1
28-06-2021,32.1,29.6,13.8,12.7,7.1,3.2,1.3,0.2,
29-06-2021,31.4,27.5,14.1,12.7,7.4,3.0,1.9,1.0,0.2,,,
01-07-2021,34.3,23,13.6,9.2,8.4,2.2,2.8,1.8,
06-07-2021,38.4,24.3,13.5,10.6,6.8,1.6,0.9,2.0,
07-07-2021,35.4,27.0,12.9,10.4,8.5,1.4,0.4,1.0,
10-07-2021,33.5,25.1,14.4,11.1,8.1,2.7,1.5,1.3,
12-07-2021,35.5,23.2,16.8,11.4,7.5,2.3,1,0.9,
13-07-2021,40.5,24,9.9,8.6,10.6,0.3
18-07-2021,35.2,23.7,14.4,10.1,10,3.2,,,
18-07-2021,33.4,25,12.5,8,9.8,2.2,2.9,1.3,1.5,,,0.8
23-07-2021,37.1,24.1,12.9,12.3,9.2,1.1,,1.5,
29-07-2021,32.2,27.7,13.9,10,8.1,2.8,1.2,1.3,
29-07-2021,29.4,25.9,14.4,11,7.4,4.6,2.3,1.3,1.1,,,
30-07-2021,34.6,28.4,14.3,9.2,6.9,1.4,0.4,0.8,0.4,,,
03-08-2021,30.6,28.7,13.3,9.3,8,2.6,1.7,0.8,
12-08-2021,32.4,23.2,16.8,11.4,7.5,2.3,1,0.9,
14-08-2021,33.9,22.7,14.7,8.4,7.7,2.7,2.9,1.5,
17-08-2021,30.3,28.3,13.9,9.9,7.2,4.5,2,1.5,
23-08-2021,33.4,24.9,15.4,10.9,9.1,
23-08-2021,32.2,23.5,14.6,12.4,11.3,0.9,,1.5,1.2,,,
29-08-2021,32.1,26.5,15.6,10,7.3,3.8,1,0.8,1.3,,,0.4
30-08-2021,28.3,26.6,14.1,9.6,7.1,5.8,2.7,1.3,1.3,,,
05-09-2021,32.1,25.3,12.7,7.9,9.7,4.5,2.5,1.2,1.6,,,
07-09-2021,31.5,27.1,14.7,10.3,8.2,1.7,0.6,1.1,0.6,,,
